add-none,1,100,200,142050,710,0
add-none,1,1000,2000,149539,74,0
add-none,1,10000,20000,306374,15,0
add-none,1,100000,200000,1646034,8,0
add-none,2,100,400,192108,480,0
add-none,2,1000,4000,240177,60,-94
add-none,2,10000,40000,774368,19,-1594
add-none,2,100000,400000,6669288,16,-37584
add-none,4,100,800,242552,303,0
add-none,4,1000,8000,240280,30,85
add-none,4,10000,80000,1747231,21,-996
add-none,4,100000,800000,16459862,20,-20165
add-none,8,100,1600,343198,214,0
add-none,8,1000,16000,481700,30,300
add-none,8,10000,160000,3640427,22,2963
add-none,8,100000,1600000,34607151,21,-13893
add-none,12,100,2400,477170,198,0
add-none,12,1000,24000,725029,30,-213
add-none,12,10000,240000,5527306,23,6084
add-none,12,100000,2400000,52621240,21,-4277
add-yield-none,2,10,40,189599,4739,0
add-yield-none,2,20,80,208101,2601,4
add-yield-none,2,40,160,241205,1507,38
add-yield-none,2,80,320,312403,976,41
add-yield-none,2,100,400,345811,864,43
add-yield-none,2,1000,4000,2037876,509,0
add-yield-none,2,10000,40000,18035035,450,-559
add-yield-none,2,100000,400000,177116498,442,-28
add-yield-none,4,10,80,261231,3265,0
add-yield-none,4,20,160,288585,1803,14
add-yield-none,4,40,320,238894,746,66
add-yield-none,4,80,640,380842,595,65
add-yield-none,4,100,800,408168,510,65
add-yield-none,4,1000,8000,1972902,246,44
add-yield-none,4,10000,80000,18550955,231,-392
add-yield-none,4,100000,800000,181763617,227,-727
add-yield-none,8,10,160,341275,2132,6
add-yield-none,8,20,320,326691,1020,45
add-yield-none,8,40,640,391796,612,120
add-yield-none,8,80,1280,427201,333,67
add-yield-none,8,100,1600,500842,313,-34
add-yield-none,8,1000,16000,2326151,145,49
add-yield-none,8,10000,160000,20139452,125,-651
add-yield-none,8,100000,1600000,203568550,127,-8945
add-yield-none,12,10,240,435676,1815,17
add-yield-none,12,20,480,420874,876,66
add-yield-none,12,40,960,465578,484,43
add-yield-none,12,80,1920,569254,296,119
add-yield-none,12,100,2400,609530,253,11
add-yield-none,12,1000,24000,2932408,122,-177
add-yield-none,12,10000,240000,27106376,112,-1269
add-yield-none,12,100000,2400000,265511555,110,-9242
add-yield-none,2,100,400,344212,860,4
add-yield-none,2,1000,4000,2014141,503,33
add-yield-none,2,10000,40000,18288385,457,-513
add-yield-none,2,100000,400000,176666177,441,-7025
add-yield-none,8,100,1600,509055,318,41
add-yield-none,8,1000,16000,2385861,149,-68
add-yield-none,8,10000,160000,20249208,126,-5
add-yield-none,8,100000,1600000,211816660,132,-8852
add-none,2,100,400,132960,332,0
add-none,2,1000,4000,164619,41,0
add-none,2,10000,40000,924818,23,136
add-none,2,100000,400000,7599678,18,-14737
add-none,8,100,1600,306603,191,0
add-none,8,1000,16000,501808,31,549
add-none,8,10000,160000,3706190,23,780
add-none,8,100000,1600000,35772054,22,-8599
add-none,1,100,200,138760,693,0
add-none,1,1000,2000,155698,77,0
add-none,1,10000,20000,266908,13,0
add-none,1,100000,200000,1616193,8,0
add-yield-none,1,100,200,286580,1432,0
add-yield-none,1,1000,2000,1706177,853,0
add-yield-none,1,10000,20000,15228022,761,0
add-yield-none,1,100000,200000,151186616,755,0
add-yield-m,2,10000,40000,49491352,1237,0
add-yield-m,4,10000,80000,129900684,1623,0
add-yield-m,8,10000,160000,262121532,1638,0
add-yield-m,12,10000,240000,402557264,1677,0
add-yield-s,2,1000,4000,5220945,1305,0
add-yield-s,4,1000,8000,12387570,1548,0
add-yield-s,8,1000,16000,32576813,2036,0
add-yield-s,12,1000,24000,60715806,2529,0
add-yield-c,2,10000,40000,19568778,489,0
add-yield-c,4,10000,80000,22145009,276,0
add-yield-c,8,10000,160000,38562685,241,0
add-yield-c,12,10000,240000,70262471,292,0
add-none,1,10000,20000,281256,14,0
add-none,2,10000,40000,786561,19,-1704
add-none,4,10000,80000,1806229,22,-1081
add-none,8,10000,160000,3699954,23,2204
add-none,12,10000,240000,5339873,22,3042
add-none,1,10000,20000,284555,14,0
add-none,2,10000,40000,959889,23,1344
add-none,4,10000,80000,1688157,21,1175
add-none,8,10000,160000,3669841,22,4500
add-none,12,10000,240000,5582680,23,916
add-none,1,10000,20000,279362,13,0
add-none,2,10000,40000,816331,20,-2415
add-none,4,10000,80000,1801399,22,-3814
add-none,8,10000,160000,3752704,23,1217
add-none,12,10000,240000,5495540,22,210
add-m,1,10000,20000,774198,38,0
add-m,2,10000,40000,2975064,74,0
add-m,4,10000,80000,11368374,142,0
add-m,8,10000,160000,26162578,163,0
add-m,12,10000,240000,40876077,170,0
add-s,1,10000,20000,420500,21,0
add-s,2,10000,40000,12143191,303,0
add-s,4,10000,80000,52509099,656,0
add-s,8,10000,160000,199055913,1244,0
add-s,12,10000,240000,313057686,1304,0
add-c,1,10000,20000,552600,27,0
add-c,2,10000,40000,2813865,70,0
add-c,4,10000,80000,9231352,115,0
add-c,8,10000,160000,24701276,154,0
add-c,12,10000,240000,41407534,172,0
